search_mc1,ndcg@10,ndcg@36,ndcg@72,revenue_per_search@8,revenue_per_search@16,revenue_per_search@32,revenue_per_search@64,revenue_recall@8,revenue_recall@16,revenue_recall@32,revenue_recall@64,avg_price@8,avg_price@16,avg_price@32,avg_price@64
Dog Consumables,1.0,1.0,1.0,0.86,0.86,0.86,0.86,1.0,1.0,1.0,1.0,13.325999999999999,13.325999999999999,13.325999999999999,13.325999999999999
Hard Goods,1.0,1.0,1.0,130.39666666666668,130.39666666666668,130.39666666666668,130.39666666666668,1.0,1.0,1.0,1.0,55.33904391111111,55.33904391111111,55.33904391111111,55.33904391111111
