search_id,search_mc1,search_mc2,ndcg@10,ndcg@36,ndcg@72,revenue_per_search@8,revenue_per_search@16,revenue_per_search@32,revenue_per_search@64,revenue_recall@8,revenue_recall@16,revenue_recall@32,revenue_recall@64,avg_price@8,avg_price@16,avg_price@32,avg_price@64
cat_products_q2,Hard Goods,Beds & Furniture,1.0,1.0,1.0,380.99,380.99,380.99,380.99,1.0,1.0,1.0,1.0,114.04752640000001,114.04752640000001,114.04752640000001,114.04752640000001
dog_accessories_q3,Hard Goods,"Leashes, Collars & Harnesses",1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,35.65,35.65,35.65,35.65
dog_treats_q1,Dog Consumables,Dog Treats,1.0,1.0,1.0,0.86,0.86,0.86,0.86,1.0,1.0,1.0,1.0,13.325999999999999,13.325999999999999,13.325999999999999,13.325999999999999
mixed_pets_q4,Hard Goods,Toys,1.0,1.0,1.0,10.2,10.2,10.2,10.2,1.0,1.0,1.0,1.0,16.31960533333333,16.31960533333333,16.31960533333333,16.31960533333333
